         15773023 function calls (15684623 primitive calls) in 343.881 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.018    0.018  192.446  192.446 /Users/taivo/Google Drive/ETH/cil/eth-cil-project/src/data_loading_module.py:8(extract_data)
        1  142.734  142.734  173.041  173.041 /Users/taivo/Google Drive/ETH/cil/eth-cil-project/src/patch_extraction_module.py:7(zero_center)
        5    0.051    0.010  130.702   26.140 /Users/taivo/anaconda/lib/python3.5/site-packages/numpy/lib/npyio.py:422(save)
        5    0.046    0.009  130.091   26.018 /Users/taivo/anaconda/lib/python3.5/site-packages/numpy/lib/format.py:517(write_array)
        5  129.366   25.873  129.366   25.873 {method 'tofile' of 'numpy.ndarray' objects}
   480201    1.073    0.000   36.703    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/numpy/core/fromnumeric.py:2796(mean)
   480201    1.569    0.000   35.630    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/numpy/core/_methods.py:53(_mean)
   960952   32.289    0.000   32.289    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1923130   18.908    0.000   18.908    0.000 {built-in method numpy.core.multiarray.array}
        3    0.000    0.000   15.984    5.328 /Users/taivo/anaconda/lib/python3.5/site-packages/numpy/core/numeric.py:414(asarray)
        1    0.059    0.059   15.456   15.456 /Users/taivo/Google Drive/ETH/cil/eth-cil-project/src/data_loading_module.py:48(extract_labels)
        1    0.551    0.551   10.395   10.395 /Users/taivo/Google Drive/ETH/cil/eth-cil-project/src/data_loading_module.py:65(<listcomp>)
      200    1.023    0.005    6.685    0.033 /Users/taivo/Google Drive/ETH/cil/eth-cil-project/src/patch_extraction_module.py:84(img_crop)
   480200    0.724    0.000    5.187    0.000 /Users/taivo/Google Drive/ETH/cil/eth-cil-project/src/patch_extraction_module.py:23(augment_image)
        1    0.000    0.000    4.511    4.511 /Users/taivo/Google Drive/ETH/cil/eth-cil-project/src/data_loading_module.py:63(<listcomp>)
      100    0.000    0.000    4.510    0.045 /Users/taivo/Google Drive/ETH/cil/eth-cil-project/src/patch_extraction_module.py:109(label_img_crop)
  1922439    1.161    0.000    4.036    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/numpy/core/numeric.py:484(asanyarray)
   480200    0.590    0.000    2.905    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/numpy/lib/twodim_base.py:139(rot90)
   480200    0.440    0.000    2.849    0.000 /Users/taivo/Google Drive/ETH/cil/eth-cil-project/src/data_loading_module.py:37(value_to_class)
   480200    0.656    0.000    2.408    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/numpy/core/fromnumeric.py:1743(sum)
   961200    0.860    0.000    2.240    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/numpy/lib/twodim_base.py:35(fliplr)
        1    0.000    0.000    2.176    2.176 /Users/taivo/Google Drive/ETH/cil/eth-cil-project/src/data_loading_module.py:25(<listcomp>)
      100    0.000    0.000    2.176    0.022 /Users/taivo/Google Drive/ETH/cil/eth-cil-project/src/patch_extraction_module.py:106(input_img_crop)
        2    1.808    0.904    1.808    0.904 /Users/taivo/Google Drive/ETH/cil/eth-cil-project/src/model_taivo_test.py:144(num_of_datapoints_per_class)
   480200    0.606    0.000    1.682    0.000 {method 'sum' of 'numpy.generic' objects}
      200    0.030    0.000    1.591    0.008 /Users/taivo/anaconda/lib/python3.5/site-packages/matplotlib/image.py:1252(imread)
      200    1.534    0.008    1.534    0.008 {built-in method matplotlib._png.read_png}
        1    1.132    1.132    1.132    1.132 /Users/taivo/Google Drive/ETH/cil/eth-cil-project/src/model_taivo_test.py:167(<listcomp>)
        1    1.127    1.127    1.127    1.127 /Users/taivo/Google Drive/ETH/cil/eth-cil-project/src/model_taivo_test.py:166(<listcomp>)
   480200    0.169    0.000    1.076    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/numpy/core/_methods.py:31(_sum)
   480201    1.000    0.000    1.072    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/numpy/core/_methods.py:43(_count_reduce_items)
      703    0.053    0.000    0.975    0.001 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/op_def_library.py:266(apply_op)
     1024    0.016    0.000    0.780    0.001 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/framework/ops.py:2078(create_op)
28555/9560    0.055    0.000    0.723    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:1035(ByteSize)
        5    0.039    0.008    0.670    0.134 /Users/taivo/anaconda/lib/python3.5/site-packages/numpy/lib/format.py:282(_write_array_header)
        1    0.000    0.000    0.629    0.629 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/training/saver.py:1069(restore)
        1    0.000    0.000    0.629    0.629 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/client/session.py:261(run)
        1    0.000    0.000    0.629    0.629 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/client/session.py:506(_run)
        1    0.000    0.000    0.629    0.629 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/client/session.py:597(_do_run)
        1    0.000    0.000    0.629    0.629 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/client/session.py:642(_do_call)
        1    0.003    0.003    0.629    0.629 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/client/session.py:618(_run_fn)
        5    0.039    0.008    0.623    0.125 /Users/taivo/anaconda/lib/python3.5/site-packages/numpy/lib/format.py:425(_filter_header)
     2913    0.029    0.000    0.618    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/encoder.py:351(FieldSize)
        1    0.000    0.000    0.592    0.592 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/client/session.py:662(_extend_graph)
      115    0.007    0.000    0.572    0.005 /Users/taivo/anaconda/lib/python3.5/tokenize.py:494(_tokenize)
     1024    0.045    0.000    0.567    0.001 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/framework/ops.py:1063(__init__)
